Tdt_ID;Date;Heure;Creneau;Operateur;UAP;Type;Theme;Question;Reponse;Attendu;Resultat;Photos
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des personnes;Port des EPI : Chaussures de sécurité + EPI indiqués sur les fiches de poste pour toutes les personnes en activité.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des personnes;Les sorties de secours et les emplacements extincteur sont visibles et dégagés.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des personnes;Le tri des déchets dangereux/chimiques est effectué dans les poubelles appropriées.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des personnes;Les produits chimiques sont rangés dans les armoires après utilisation.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des personnes;L'étiquetage des produits chimiques est adéquat.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des personnes;Présence de passe-câbles sur tous les câbles apparents au sol.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des personnes;Absence de situation dangereuse dans la semaine ?;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des personnes;Absence d'accident de travail dans la semaine ?;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des produits;"Balisage et identification des activités ""critiques"" avec pancarte, ruban jaune ou rideau rouge indiquant l'activité (cintrage, soudure, sertissage).";Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Sécurité des produits;Les caloducs sont rangés et avec leur fiche suiveuse dans les emplacements définis ou dans leur rack.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;5S;Gare Spaceloop : La rotation des Kanbans (emplacements jaunes vers les emplacements bleus) est effectuée. Le rangement de la gare est respecté.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;5S;Les transitiques sont dégagées dans l'atelier.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;5S;Chaque poste de travail est rangé après utilisation.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Règles d'Or de la Production;Les fiches suiveuses accompagnent les caloducs et sont renseignées correctement à chaque étape.;Conforme;Conforme;Juste;
CALODUCS_2026-07-20_Raph;2026-07-20;09:22;Matin;Raph;UAP1;CALODUCS;Règles d'Or de la Production;Respect des allées de circulation par le personnel (autour des zones de balisage).;Conforme;Conforme;Juste;
USINAGE_2026-07-17_r;2026-07-17;17:35;Apres-midi;r;UAP1;USINAGE;Sécurité des personnes;Tous les opérateurs portent les EPI indiqués sur les fiches de poste;Conforme;Conforme;Juste;
USINAGE_2026-07-17_r;2026-07-17;17:35;Apres-midi;r;UAP1;USINAGE;Sécurité des personnes;Les sorties de secours et les emplacements d'extincteurs sont dégagés;Conforme;Conforme;Juste;
USINAGE_2026-07-17_r;2026-07-17;17:35;Apres-midi;r;UAP1;USINAGE;Sécurité des personnes;Le tri des déchets dangereux / chimiques est effectué dans les poubelles appropriées;Conforme;Conforme;Juste;
USINAGE_2026-07-17_r;2026-07-17;17:35;Apres-midi;r;UAP1;USINAGE;Sécurité des personnes;Le rangement des produits chimiques est réalisé dans les armoires après utilisation;Conforme;Conforme;Juste;
